1D Diff 32x32, 2D Diff 32x32, 1D FFT 32x32, 2D FFT 32x32, 1D Diff 64x64, 2D Diff 64x64, 1D FFT 64x64, 2D FFT 64x64, 1D Diff 128x128, 2D Diff 128x128, 1D FFT 128x128, 2D FFT 128x128,
4765,9978,22172,3009144609,15066,31229,82963,106098641327,56405,114692,335863,3800013615270,
4670,9818,22270,2994948837,14694,30753,78632,105812932892,54437,112025,331040,3757868780181,
4667,9727,21979,3133273326,14849,30701,82316,110023979672,53893,110933,330010,3897743529604,
5492,11597,22910,3072532410,17006,35616,83539,108996778847,60422,125061,348845,3877084233680,
5805,12229,24328,3225358704,17586,36953,83292,113681334659,61795,127396,343130,4021528585970,
6652,13869,26189,3254558082,19771,40944,83007,115333235648,65975,136179,349935,4069366039157,
7128,15064,27537,3300726764,21032,44111,90750,117028496109,69279,143566,397054,4134954079063,
8068,16473,29686,3364989440,23052,48079,99268,119562210493,73784,153275,406236,4205461393017,
9494,19416,32845,3318267697,25905,54583,103065,118439307261,80974,170389,432787,4186362000529,
9934,20463,32774,3549854191,27204,57788,112415,125950986768,83235,176384,449793,4423524756671,
11204,23406,34850,3678270721,29661,64697,115569,129981214110,89170,193146,494423,4558459780437,
12407,26402,39336,3842804924,33404,72925,133424,137112629250,98872,213873,565443,4782631735627,
14445,29656,46259,4073356449,38985,82655,150335,146286869343,114597,238901,676773,5130368839330,
17410,34754,52740,4372576625,47672,96931,182931,156462306740,138282,277656,877588,5497382762361,
23147,45068,67444,4999984374,61688,123014,221008,177648920627,179291,348831,1153860,6350549776537,
27727,53247,80097,5511134747,72646,142788,244080,195535216889,210861,403997,1300990,6989006603032,
26504,50356,74630,5464741588,69689,136844,236106,193793477766,204545,391314,1191358,6910808392261,
19523,38798,58366,4911768426,54312,108176,198841,174301909916,160866,313837,880031,6119761404708,
14105,29470,39589,4147991133,38975,82075,144933,147576147137,116689,240969,606225,5162054996574,
11159,23223,36217,3717310803,29899,64593,118770,131859091550,90516,194531,468223,4615887906370,
10211,20718,33097,3462339062,27374,58179,111554,123062226397,84536,178980,450435,4321104096955,
8458,17282,29066,3280850192,24227,50606,95392,117333958432,77169,160289,413603,4132076627704,
7314,14985,27876,3108978644,21660,44585,91730,111811417525,71831,147504,392123,3956017109397,
5640,12031,22983,3221507269,17909,37531,84098,113808992511,62948,129771,354240,4025716307277,
5134,10876,21900,3136208458,16242,33901,80010,110696933041,58633,120769,348604,3919595382652,
4424,9210,20480,3077606767,14085,28958,76974,108220758159,52923,107364,312361,3833893663522,
3889,8029,20036,3074295677,12490,25388,72224,107439866728,48892,98636,322390,3794453572311,
3747,7422,18975,3017582110,11975,23672,67639,105439141308,46819,93473,319427,3722711367338,
3521,7130,18083,3003366443,11307,22209,70758,104303091173,45736,90117,305871,3674107411964,
3634,7257,18612,2933899788,11642,22724,70159,101645458349,45969,90589,309057,3591504042469,
3245,6490,19100,2995287023,10500,20280,70071,103159481104,42800,83265,305719,3619025036173,
3013,5853,16913,2979179733,10082,19281,68105,102666749169,41112,79137,299231,3592267470682,
