1D Diff 32x32, 2D Diff 32x32, 1D FFT 32x32, 2D FFT 32x32, 1D Diff 64x64, 2D Diff 64x64, 1D FFT 64x64, 2D FFT 64x64, 1D Diff 128x128, 2D Diff 128x128, 1D FFT 128x128, 2D FFT 128x128,
18372,34561,74920,3892736618,72211,140286,359693,153394698642,297091,577589,1857295,6073783035126,
19097,37988,69423,3890952214,75156,145256,280024,151569700314,323951,622609,2026009,6034081743543,
21328,41960,91058,4193026315,79123,153541,374492,160067990733,329304,625665,2145636,6412083315324,
19907,38006,62118,3934156254,80650,156258,437388,156414879322,314703,608074,1810512,6177838407922,
25111,47081,61704,4194114286,83059,157708,464097,162774097707,323013,620396,1790888,6399540379099,
19435,36766,64027,4110929035,80032,155478,360295,162917978204,332178,646567,2041530,6398187876317,
23810,45094,57391,4276559248,77939,154407,304760,163663171915,322982,630925,1851161,6452402782181,
23269,45318,79175,4287883884,88244,168647,412841,165379407053,333085,643157,1889764,6473293455468,
27545,52832,92741,4107311374,88904,173850,321061,162192352155,331190,649358,1468086,6258742466367,
23918,46054,56297,4375203708,88853,173924,321068,167623760792,344950,669056,2144919,6540684093499,
28308,52265,67079,4501168351,93925,181290,355705,171425880146,346359,668254,1706154,6576704080979,
28329,54020,79540,4633483233,97822,188158,380876,174750542388,352307,683337,2015831,6725410269981,
30536,60177,76501,4762412030,101483,199245,351805,179515809719,368471,725352,2189483,6841813101119,
31453,59387,65966,4707193573,116911,221791,396432,181569244888,399890,762660,1863044,6917041038845,
37304,70753,79417,5186906140,118860,228560,341688,193677439869,411216,778174,1927821,7340250939554,
39116,74531,85859,5561470468,127075,241378,369438,205841621910,436946,820911,1743268,7767360401717,
36734,69389,80377,5591061139,118276,225070,363790,205403531987,438029,826467,2099515,7768972568753,
34662,65207,80803,5286322303,115842,220217,326183,196360685565,395932,760952,2216470,7392839704847,
26159,50498,83686,4558446949,101581,193457,370590,176730062467,379811,728372,2010807,6816559164085,
30327,55665,111391,4515325838,92537,182880,354648,171652477727,365954,715477,2132815,6673404984893,
24451,45622,33097,4290978834,91902,178046,334660,163396935206,325749,628467,1560342,6276321485329,
25114,48520,63530,4126152589,89015,172695,308300,157853711548,321968,626988,1715085,6190853658309,
23596,44909,62440,3983344286,88008,167523,294593,153745323448,317255,602862,2083716,6023041772697,
22225,44441,69590,4277837888,78260,154187,319365,163221928374,313740,615785,2076495,6392523508284,
19517,37975,66581,4194332702,76886,149346,321000,160365538974,319362,618409,2090272,6328362959401,
20308,37568,73155,4016480404,81206,156713,323760,160187159921,306934,591962,1622673,6299548179339,
18525,37040,59980,4162777589,78613,159021,315774,161046118817,314031,615466,1860735,6360786284517,
17729,34987,50068,4015995696,75819,147297,316949,158909006016,322858,616491,1831072,6283723059501,
18924,36878,58589,4002332631,70304,138352,320426,155294000355,303096,585444,2027205,6230934772326,
19198,38484,64912,3901198988,78799,150133,270897,153171797800,297943,565059,1741325,5995295026624,
19194,36716,53668,4107137481,72346,138512,414455,157761085469,305657,590940,1612032,6227705920212,
18257,36350,67749,3960448651,75257,145607,301158,158654312277,315462,598770,1515666,6282185226990,
