1D Diff 32x32, 2D Diff 32x32, 1D FFT 32x32, 2D FFT 32x32, 1D Diff 64x64, 2D Diff 64x64, 1D FFT 64x64, 2D FFT 64x64, 1D Diff 128x128, 2D Diff 128x128, 1D FFT 128x128, 2D FFT 128x128,
2429,4085,9974,1428605406,9880,16918,31878,49693490160,38604,67094,225814,1782496958094,
2545,4356,11747,1449567083,9891,17197,37679,50772692376,38517,67514,229332,1816234699788,
2579,4500,10619,1420042916,9847,17226,35964,50129977780,38672,68415,233123,1800658918636,
2599,4353,10831,1450716643,9771,16936,38350,50830124206,39118,68486,230136,1830182934973,
2515,4402,10837,1439423011,9854,17377,36303,50752793184,39021,69630,248799,1825633393337,
2511,4290,10630,1426915721,9971,17554,40205,50447500734,39821,70991,242929,1828358323880,
2651,4450,10682,1440603571,10139,17731,37777,50671180735,40008,72019,238229,1832321741804,
2657,4579,10396,1450905873,10517,18746,40565,51254877389,41188,74545,250204,1847842753121,
2703,4773,10783,1446656743,10651,18969,38633,51123872750,41917,75990,262942,1848050576833,
2681,4610,12370,1436120857,10807,19543,40324,51220344241,42770,79057,273045,1865675449251,
2765,4907,10280,1454915872,10915,19927,41764,51808459574,44012,81721,275334,1880381148614,
3036,5447,12593,1459903185,11395,20778,48272,51900517772,46328,86459,287130,1889567946509,
2951,5554,12011,1411528096,11762,22195,46231,50577190378,50165,94748,284855,1870773834645,
3347,6009,11757,1430781442,13434,24337,51477,51672387851,55930,103208,328982,1915494803910,
4145,6925,14193,1449136307,16416,28369,50826,52712763963,68075,119264,340464,1968973555356,
6299,8735,15356,1491166480,24052,34795,67954,55459114400,102295,149534,406954,2101172892369,
9976,11806,19479,1592795678,36900,46271,84906,61526722322,157687,201036,550525,2366768615600,
11731,14167,24314,1704982643,43922,55250,89489,67656523524,190193,241740,615738,2615831557374,
7749,10116,18631,1547212475,29629,39994,68999,59222584402,128141,173187,490093,2259678135900,
4311,7107,13160,1450478528,17851,29499,56400,53397971581,72584,123715,336067,1992692833917,
3421,5799,13195,1402284887,13263,23735,47986,50743459967,55325,101924,315145,1883404545418,
2795,4954,12062,1487100501,11444,20946,45898,53124632613,47610,88324,289094,1938868051735,
2647,4696,11681,1373298275,10830,19675,44178,48770148142,44100,81877,265697,1793737147100,
2520,4505,11145,1467174804,10496,18678,39203,52072794851,42424,76809,251758,1879979832202,
2586,4514,11187,1475992138,10166,18141,37110,52292131103,40776,73354,261212,1877319950919,
2576,4418,12783,1444376788,10149,17906,42867,51185888275,40098,72006,250419,1846632051428,
2546,4278,10515,1465740065,10164,17433,34164,51634053041,39352,69452,237048,1849368895989,
2563,4294,12384,1447349538,9984,17283,36712,51207286588,38984,68672,228609,1838679919871,
2383,4143,11307,1437134372,9735,17009,41011,50710146208,38775,68195,234916,1822654778840,
2505,4359,10390,1442223074,9656,16727,37667,50529992663,38420,67138,222628,1812862497494,
2454,4256,11800,1444439986,9497,16606,33868,50461092239,37861,65887,214195,1809528590570,
2438,4221,9081,1375379606,9520,16728,34494,48227432314,37820,66134,211252,1745050624613,
