1D Diff 32x32, 2D Diff 32x32, 1D FFT 32x32, 2D FFT 32x32, 1D Diff 64x64, 2D Diff 64x64, 1D FFT 64x64, 2D FFT 64x64, 1D Diff 128x128, 2D Diff 128x128, 1D FFT 128x128, 2D FFT 128x128,
2373,4015,11068,1521933552,8980,15290,36660,52317516476,36131,61839,656440,1859044847179,
2397,4086,10760,1485494516,9568,16265,34402,51718711913,36670,63511,660053,1836777210104,
2446,4141,10903,1495905764,9316,16153,33830,52146570997,36599,63990,671383,1854588367779,
2389,4137,11647,1473767207,9432,16242,36220,51352295720,36484,64352,661900,1828740772284,
2530,4280,12141,1461859918,9540,16658,34038,51082259746,37112,65739,673768,1825334779770,
2565,4374,10742,1473797154,9797,16789,33103,51524611675,37856,66233,661886,1846499820231,
2575,4384,11209,1464637449,9951,17294,37593,51332995056,38098,68110,666531,1841060123681,
2490,4232,11123,1459951065,10037,17437,34841,51550037072,39053,69715,672681,1849611628494,
2511,4411,11490,1510539722,9849,17533,39138,53039153396,39035,70682,675319,1891286647379,
2536,4451,10807,1486418391,10063,18228,40704,52734597999,40491,73990,675112,1894624918966,
2675,4673,12103,1511231333,10504,18901,43288,53357323712,42186,77389,663422,1924635207725,
2892,5046,12167,1498062884,11150,20215,41022,53486300825,45265,84288,698529,1933654988164,
3307,5733,12384,1522901213,12817,23045,47465,54673015267,52113,96834,690658,1988578597421,
4167,6862,14109,1566444258,16492,28026,51617,56578830295,69674,120028,715639,2100454904867,
6698,9031,17079,1614428582,25414,35444,64824,60100710724,105132,151204,786063,2252382614383,
12919,15638,22035,1895467679,50402,61108,101679,74215118892,200458,253385,1025616,2842154158500,
10737,12799,17357,1732655465,40874,49033,86049,65640436385,164231,205234,889703,2491450160273,
6044,8472,15663,1602466659,23433,33825,61547,58761688601,97341,144855,773305,2194102687233,
4375,7118,13538,1540401452,17436,28989,53210,56159393355,72941,123842,741299,2072362989004,
3392,5979,12929,1552240121,13449,24203,46275,55794330455,56105,103049,717812,2034053503976,
3101,5536,11852,1513779975,11982,22108,44721,53984366334,49306,92463,684486,1962111569140,
2750,4983,12003,1510683936,10885,19994,40236,53706902946,44886,84176,691171,1946726001462,
2740,4950,11753,1519841993,10600,19433,41571,53770317189,42551,79341,698426,1937113783156,
2574,4608,11468,1505355739,10325,18559,38883,53228647078,41254,76010,689464,1921424350843,
2618,4640,12001,1499833195,10095,18116,38663,53213411926,39890,73186,667578,1906907334091,
2525,4394,12277,1536366238,9889,17453,40419,53513583805,38817,70221,674575,1918071138013,
2441,4152,10316,1499042066,9683,16963,37168,52705034261,38702,69224,688760,1893435311905,
2478,4356,11237,1503405223,9594,17061,38404,52871498894,38035,68374,681105,1884092483806,
2459,4259,11003,1489492266,9718,16855,40206,52199703305,37579,66954,677219,1866387255748,
2397,4198,10652,1492958268,9843,17043,36819,52353849497,37964,67024,672770,1865653620496,
2368,4032,11126,1518585653,9075,15795,39224,52899484497,36532,64606,654998,1895919851696,
2355,4108,11024,1503162260,9421,16223,37996,52594884110,36876,64377,656296,1867506295912,
