1D Diff 32x32, 2D Diff 32x32, 1D FFT 32x32, 2D FFT 32x32, 1D Diff 64x64, 2D Diff 64x64, 1D FFT 64x64, 2D FFT 64x64, 1D Diff 128x128, 2D Diff 128x128, 1D FFT 128x128, 2D FFT 128x128,
17696,33723,55551,2207568272,62139,119506,301463,84700682666,255601,488375,1840496,3315511939074,
13293,26411,78216,2089543043,51988,98438,282965,79396656984,230386,433354,1949987,3181909701863,
15302,28692,41654,2082437583,55859,106841,228062,81251430070,234797,444449,1584419,3221326499798,
14108,25503,46168,2065222115,58432,109680,270256,81727050245,224095,425230,2253590,3146881777581,
14974,28076,49220,2032205620,59271,112249,296775,80099668647,236110,445529,1525382,3165801668684,
13498,24625,58369,1949238334,58145,108267,224410,79955634754,237848,448791,1721844,3189728758813,
15943,29658,35591,2010325724,63186,118393,248174,80205003426,234852,443282,1775989,3130421368303,
18407,33827,61893,2130534262,63844,119857,205440,80435942412,233091,442886,1659797,3118671069348,
16101,29587,45535,2115607124,63032,118606,289175,82808286435,237675,446286,1744693,3206789445294,
16644,30894,41541,2126169530,64190,118887,341335,82816059025,249432,473580,2065337,3249437163166,
15389,27454,59320,2075574073,55768,102416,276689,80995984465,241287,451345,1555661,3236608412650,
12335,23458,41274,1973258619,54853,104698,260173,79896941390,243382,463924,1847507,3208279930857,
14294,28432,48500,2076211002,57105,109265,236264,81142983711,242150,458277,1942196,3198321013874,
16853,29426,45421,2097696474,66830,125063,307222,83507234426,267815,496996,1945883,3289882371251,
18730,31860,42921,2138582464,73732,129626,272637,84659955637,291663,509752,1983243,3296026925657,
22733,35158,53929,2235956278,93284,143121,301299,89253389732,390159,611308,2136305,3620170289294,
20442,31146,41314,2100082378,86404,135704,307581,85485096837,353271,569469,1637214,3430742481078,
16978,29506,40909,2114661846,72766,127145,245752,84235978641,301858,538321,1619123,3363337965920,
16643,29940,48583,2071395100,69482,129400,329457,83736697149,264605,490863,1748656,3249640262791,
18589,33216,48977,2171998291,67346,125673,211433,84601659805,263526,492484,2202568,3321574150381,
13341,25923,48944,2055525164,59561,114783,222554,81449254466,257803,492408,1765548,3280626971037,
14422,27220,49542,2108720204,61227,116421,238004,82402867071,250722,476325,2121544,3256313596581,
16010,29715,55472,2098274700,63841,118097,276255,82626884680,242066,451505,1952239,3198959455359,
13246,26300,61437,2059353255,54983,103046,254687,81033238355,231424,440316,1910518,3221133318591,
13740,25549,60228,2021275802,59078,112628,352469,82509846902,238343,462381,1640904,3214623290748,
13438,25005,43512,2102520718,55649,105151,277390,82476917184,232548,440588,1625184,3235083304140,
15603,28033,50022,2089656333,55851,105332,196509,81935597861,227010,432435,1579488,3199090244174,
15826,27431,51754,2114598852,63272,112931,265615,82293239353,243318,456875,1946141,3246782349026,
14947,30147,48600,2068956789,64226,121178,251262,81534154911,245982,467757,1641182,3227468306288,
15106,29204,39528,2068510907,59022,110161,309171,79904698921,237396,452838,1552325,3204476173254,
13520,26265,63416,2106386616,61342,117869,192409,84423545878,251604,476526,1740045,3312290712175,
13632,26059,55561,2081950642,60277,113143,278182,82920747295,242394,460687,1933892,3229953431976,
