1D Diff 32x32, 2D Diff 32x32, 1D FFT 32x32, 2D FFT 32x32, 1D Diff 64x64, 2D Diff 64x64, 1D FFT 64x64, 2D FFT 64x64, 1D Diff 128x128, 2D Diff 128x128, 1D FFT 128x128, 2D FFT 128x128,
2535,4211,13367,2055260016,10078,16877,44796,70397567964,39247,67062,386689,2469252590175,
2723,4532,13317,2096767162,10208,17362,44551,71177639511,39914,68742,395755,2498191308557,
2526,4260,14404,2086989578,10141,17113,47089,71263000961,40832,69941,398842,2516022175273,
2673,4598,14482,2100050536,10479,17835,47853,71807750217,41385,71355,416859,2536351925811,
2698,4508,14377,2094596652,10517,17660,47038,71730102381,41421,71901,437814,2533418678039,
2648,4557,13992,2088756866,10786,18605,44389,72093003471,41913,73646,442341,2551006523270,
2703,4661,14351,2097216296,10699,18548,48375,71985711445,42308,74168,425239,2556591044125,
2728,4665,14073,2101183871,10944,19090,49052,72261039343,42852,76277,458072,2568162569520,
2821,4899,14944,2111438290,11149,19551,46002,72965768253,43842,78571,444706,2592519524299,
2745,4882,14701,2107912035,11286,20132,48479,72999224766,45250,81488,468805,2598489442714,
3188,5414,14994,2130106604,11971,21219,50265,73788769709,47492,86525,509110,2633969747965,
3178,5651,15719,2124236381,12452,22527,51846,74016738176,51166,93886,496515,2653716309555,
3873,6711,16404,2165726634,14663,26311,56921,75896830835,60298,110411,524277,2748162564933,
4912,8057,16961,2185008914,18493,31931,69931,78165794699,77286,135916,564546,2848586889445,
8361,10841,22618,2346183471,34328,46771,90738,86421301291,151446,203372,710274,3275867990844,
16017,19905,28132,2838773765,62696,79926,134669,108433822270,271034,343603,882017,4163692910095,
10333,12839,24646,2404882728,41637,53078,93767,88559130021,182093,229844,701533,3367342918896,
6060,8994,18241,2226279394,23826,36731,78990,80051192702,101866,158475,597765,2956749927701,
4318,7553,16527,2165657401,16648,29484,65546,76560170866,68950,125357,562597,2776949650123,
3566,6332,15648,2144407912,13561,25152,60383,75003157055,57311,107613,549351,2713468605369,
3167,5752,15224,2144083848,12167,22607,58181,74272448387,50867,95825,524138,2674292367968,
2975,5457,15753,2133520209,11546,21285,56697,74288754358,48036,89937,492202,2654652216888,
2774,5046,14273,2111996000,11097,20024,52501,73065193060,45504,83569,501897,2608779433941,
2805,4895,13535,2101911207,10768,18979,46552,72873443711,43328,77724,454648,2590410240345,
2803,4728,13453,2097006944,10810,18582,45074,72490917189,42756,76106,469036,2578862417682,
2679,4798,13039,2103744075,10758,19029,49651,72661591627,42853,75841,436594,2573785932684,
2835,4821,14316,2113078598,10777,18557,48477,72495127978,42151,74115,461099,2568550071152,
2774,4783,13686,2075753345,10752,18472,48031,71549812457,42060,73577,427971,2539795808512,
2724,4516,14944,2095154787,10565,17910,45154,71691258978,41374,71241,414090,2531272098038,
2674,4620,12260,2096401241,10261,17499,42239,71619733427,40896,71025,404075,2535567917742,
2731,4526,13576,2074306596,10493,17566,43680,71462103543,40863,70412,397553,2525274965830,
2723,4419,13140,2097515486,10377,17538,42758,71624794701,40548,69804,394688,2536065805107,
