1D Diff 32x32, 2D Diff 32x32, 1D FFT 32x32, 2D FFT 32x32, 1D Diff 64x64, 2D Diff 64x64, 1D FFT 64x64, 2D FFT 64x64, 1D Diff 128x128, 2D Diff 128x128, 1D FFT 128x128, 2D FFT 128x128,
20501,39111,54217,3033578415,80535,152173,252735,115609921664,306452,578874,1609001,4422605611367,
19764,37202,69266,2986443510,79111,146521,362788,113469331494,303895,575614,1539531,4420667523936,
16879,34505,66676,2892918542,74768,141553,330065,111697693424,312705,589434,1705897,4465797349940,
18678,36049,84948,2896454127,72019,134628,424673,112836853552,301377,572488,1719673,4454317413255,
19025,35943,62589,2940420911,76521,144846,341698,114159376341,309814,586670,1560989,4477864975598,
18419,35675,65164,2945733558,77008,145487,331089,114420176485,308505,588126,1798627,4498765468755,
18162,33652,72384,2873378790,72500,136608,333910,113771803004,304672,575432,1586700,4483321940749,
17811,34575,83464,2896438114,79726,151808,310322,114943630691,322874,618543,2014039,4547020970382,
15468,27839,60008,2910726295,79712,145957,284508,114385078304,329540,620096,1624426,4540390211530,
21741,44232,83768,2984127619,84026,162077,258730,115980337825,325017,617119,1968421,4523757297600,
21374,40878,83282,2953064886,82761,160795,339330,117640982348,324148,623548,1561180,4523671539968,
21798,41419,54292,2963120141,87717,165033,276060,115804487281,320251,609283,1491092,4530726145756,
24238,43112,72537,3031164532,89281,171084,236822,117325077979,349769,665890,1496013,4582821581184,
21114,38179,52956,2939382032,84784,160414,364334,115731692599,348590,649353,1997097,4595589517513,
25187,41731,67154,3030203361,93789,160478,367559,118018354261,409458,696934,2034625,4684810459381,
33014,54557,51751,3353549523,126398,205018,297656,130472769104,522695,824600,1579692,5153161652472,
26460,43939,67007,3025449589,106480,173799,384412,119965409396,439912,732337,1531933,4741894118303,
18714,33082,62301,2889707904,86987,156091,321197,115808494542,360702,646094,1828680,4562878783689,
20325,38522,61591,2945239929,81915,154997,280167,116142673564,341490,641474,2380088,4537992064029,
23985,43023,66942,3025825190,89769,170838,336568,117483907142,339153,645543,1219668,4606651752380,
19091,35888,68126,2936119172,74221,142774,272191,113901006289,309464,591586,1837322,4502465407053,
24027,44771,84389,3009932976,85029,161440,319167,118257994911,326419,626497,2049677,4598720237216,
21731,41316,59626,3034329925,87299,163418,338462,115535466101,325910,621307,1524214,4562571406044,
21426,39216,48044,3051873353,85753,162884,334536,116963633154,321026,611351,1543958,4565022765885,
16351,29717,61016,2893223594,73231,134006,312430,112845667216,305073,581654,1575105,4483687439812,
19337,35061,74536,2902491254,82969,154127,251910,116126020948,323379,611752,1424468,4499681862422,
22478,42080,76030,3061317508,81523,152706,353154,114229052883,320617,601034,1728687,4529681517152,
17945,35448,78764,2886135168,67469,126616,376306,109382827571,308978,587731,1532317,4406915912649,
18958,35814,66196,2912950873,73728,141472,312447,113034409671,311411,591121,1105943,4459447856007,
18123,35385,60585,2984767930,75455,142544,279686,113121290378,292203,562403,1533934,4418529112059,
17191,31775,38319,2906952098,70226,128623,281494,112672719906,309340,577716,1637085,4462839730763,
16601,29962,88384,2938139464,79669,147103,277949,116933524536,300907,562597,1949293,4469583340270,
